BlockWidth,MatrixSize,GPUAverage,GPUError
2,100,0.380363,0.004274
2,250,4.786549,0.004143
2,500,39.644257,0.144055
2,1000,354.384888,3.093592
2,1500,1177.078369,2.263846
5,100,0.104459,0.012874
5,250,0.978773,0.003230
5,500,6.602496,0.002762
5,1000,60.381119,0.125973
5,1500,206.931686,3.763517
10,100,0.105461,0.008895
10,250,0.404245,0.000946
10,500,2.439744,0.011820
10,1000,20.522818,0.176518
10,1500,69.800728,0.295639
25,100,0.113547,0.000522
25,250,0.394624,0.000722
25,500,2.416672,0.013390
25,1000,20.443476,0.009568
25,1500,67.276772,0.298924
50,100,0.006123,0.000444
50,250,0.005803,0.000189
50,500,0.006421,0.000282
50,1000,0.008160,0.002195
50,1500,0.006944,0.000510
