TileWidth,MatrixSize,GPUAverage,GPUError
2,400,96.719971,24.950968
2,250,15.116000,0.249908
2,500,120.202782,1.469415
2,1000,993.825195,1.000000
2,1500,3526.107422,30.577770
5,400,13.826229,0.216929
5,250,3.208523,0.368896
5,500,21.617889,0.658502
5,1000,148.763397,27.780178
5,1500,430.791779,3.257204
16,400,3.559797,0.205673
16,250,0.741099,0.001465
16,500,5.441408,0.277048
16,1000,39.897533,0.728785
16,1500,126.022186,2.911118
25,400,3.739776,0.183128
25,250,0.689301,0.000345
25,500,5.354454,0.053542
25,1000,41.681564,0.464433
25,1500,137.981339,1.583607
32,400,4.425973,0.004580
32,250,0.926912,0.000772
32,500,6.188330,0.191147
32,1000,49.268635,0.015625
32,1500,148.666916,4.601079
